date,home_team,away_team,home_score,away_score,season,league
2023-04-15,America MG,Fluminense,0.0,3.0,2023,BRA-Serie A
2023-04-15,Athletico-PR,Goias,2.0,0.0,2023,BRA-Serie A
2023-04-15,Botafogo RJ,Sao Paulo,2.0,1.0,2023,BRA-Serie A
2023-04-15,Bragantino,Bahia,2.0,1.0,2023,BRA-Serie A
2023-04-15,Fortaleza,Internacional,1.0,1.0,2023,BRA-Serie A
2023-04-15,Palmeiras,Cuiaba,2.0,1.0,2023,BRA-Serie A
2023-04-16,Atletico-MG,Vasco,1.0,2.0,2023,BRA-Serie A
2023-04-16,Corinthians,Cruzeiro,2.0,1.0,2023,BRA-Serie A
2023-04-16,Flamengo RJ,Coritiba,3.0,0.0,2023,BRA-Serie A
2023-04-16,Gremio,Santos,1.0,0.0,2023,BRA-Serie A
2023-04-22,Cuiaba,Bragantino,1.0,1.0,2023,BRA-Serie A
2023-04-22,Fluminense,Athletico-PR,2.0,0.0,2023,BRA-Serie A
2023-04-22,Sao Paulo,America MG,3.0,0.0,2023,BRA-Serie A
2023-04-23,Coritiba,Fortaleza,0.0,3.0,2023,BRA-Serie A
2023-04-23,Cruzeiro,Gremio,1.0,0.0,2023,BRA-Serie A
2023-04-23,Goias,Corinthians,3.0,1.0,2023,BRA-Serie A
2023-04-23,Internacional,Flamengo RJ,2.0,1.0,2023,BRA-Serie A
2023-04-23,Santos,Atletico-MG,0.0,0.0,2023,BRA-Serie A
2023-04-23,Vasco,Palmeiras,2.0,2.0,2023,BRA-Serie A
2023-04-25,Bahia,Botafogo RJ,1.0,2.0,2023,BRA-Serie A
2023-04-29,Bragantino,Cruzeiro,0.0,3.0,2023,BRA-Serie A
2023-04-29,Coritiba,Sao Paulo,1.0,1.0,2023,BRA-Serie A
2023-04-29,Fortaleza,Fluminense,4.0,2.0,2023,BRA-Serie A
2023-04-29,Palmeiras,Corinthians,2.0,1.0,2023,BRA-Serie A
2023-04-29,Santos,America MG,3.0,2.0,2023,BRA-Serie A
2023-04-30,Atletico-MG,Athletico-PR,2.0,1.0,2023,BRA-Serie A
2023-04-30,Cuiaba,Gremio,1.0,2.0,2023,BRA-Serie A
2023-04-30,Flamengo RJ,Botafogo RJ,2.0,3.0,2023,BRA-Serie A
2023-04-30,Internacional,Goias,1.0,0.0,2023,BRA-Serie A
2023-05-02,Vasco,Bahia,0.0,1.0,2023,BRA-Serie A
2023-05-06,Cruzeiro,Santos,2.0,1.0,2023,BRA-Serie A
2023-05-07,America MG,Cuiaba,1.0,2.0,2023,BRA-Serie A
2023-05-07,Athletico-PR,Flamengo RJ,2.0,1.0,2023,BRA-Serie A
2023-05-07,Bahia,Coritiba,3.0,1.0,2023,BRA-Serie A
2023-05-07,Botafogo RJ,Atletico-MG,2.0,0.0,2023,BRA-Serie A
2023-05-07,Fluminense,Vasco,1.0,1.0,2023,BRA-Serie A
2023-05-07,Goias,Palmeiras,0.0,5.0,2023,BRA-Serie A
2023-05-07,Gremio,Bragantino,3.0,3.0,2023,BRA-Serie A
2023-05-07,Sao Paulo,Internacional,2.0,0.0,2023,BRA-Serie A
2023-05-09,Corinthians,Fortaleza,1.0,1.0,2023,BRA-Serie A
2023-05-10,Bragantino,America MG,2.0,2.0,2023,BRA-Serie A
2023-05-10,Internacional,Athletico-PR,0.0,2.0,2023,BRA-Serie A
2023-05-10,Santos,Bahia,3.0,0.0,2023,BRA-Serie A
2023-05-11,Botafogo RJ,Corinthians,3.0,0.0,2023,BRA-Serie A
2023-05-11,Coritiba,Vasco,1.0,1.0,2023,BRA-Serie A
2023-05-11,Cruzeiro,Fluminense,0.0,2.0,2023,BRA-Serie A
2023-05-11,Cuiaba,Atletico-MG,0.0,4.0,2023,BRA-Serie A
2023-05-11,Flamengo RJ,Goias,2.0,0.0,2023,BRA-Serie A
2023-05-11,Palmeiras,Gremio,4.0,1.0,2023,BRA-Serie A
2023-05-12,Fortaleza,Sao Paulo,0.0,0.0,2023,BRA-Serie A
2023-05-13,Bahia,Flamengo RJ,2.0,3.0,2023,BRA-Serie A
2023-05-13,Fluminense,Cuiaba,2.0,0.0,2023,BRA-Serie A
2023-05-13,Palmeiras,Bragantino,1.0,1.0,2023,BRA-Serie A
2023-05-14,America MG,Cruzeiro,0.0,4.0,2023,BRA-Serie A
2023-05-14,Athletico-PR,Coritiba,3.0,2.0,2023,BRA-Serie A
2023-05-14,Atletico-MG,Internacional,2.0,0.0,2023,BRA-Serie A
2023-05-14,Corinthians,Sao Paulo,1.0,1.0,2023,BRA-Serie A
2023-05-14,Goias,Botafogo RJ,2.0,1.0,2023,BRA-Serie A
2023-05-14,Gremio,Fortaleza,0.0,0.0,2023,BRA-Serie A
2023-05-14,Vasco,Santos,0.0,1.0,2023,BRA-Serie A
2023-05-20,America MG,Fortaleza,2.0,1.0,2023,BRA-Serie A
2023-05-20,Bahia,Goias,1.0,1.0,2023,BRA-Serie A
2023-05-20,Botafogo RJ,Fluminense,1.0,0.0,2023,BRA-Serie A
2023-05-20,Bragantino,Athletico-PR,2.0,0.0,2023,BRA-Serie A
2023-05-20,Coritiba,Atletico-MG,1.0,2.0,2023,BRA-Serie A
2023-05-20,Sao Paulo,Vasco,4.0,2.0,2023,BRA-Serie A
2023-05-21,Flamengo RJ,Corinthians,1.0,0.0,2023,BRA-Serie A
2023-05-21,Gremio,Internacional,3.0,1.0,2023,BRA-Serie A
2023-05-21,Santos,Palmeiras,0.0,0.0,2023,BRA-Serie A
2023-05-23,Cruzeiro,Cuiaba,0.0,1.0,2023,BRA-Serie A
2023-05-27,Athletico-PR,Gremio,1.0,2.0,2023,BRA-Serie A
2023-05-27,Cuiaba,Coritiba,1.0,1.0,2023,BRA-Serie A
2023-05-27,Flamengo RJ,Cruzeiro,1.0,1.0,2023,BRA-Serie A
2023-05-27,Fortaleza,Vasco,2.0,0.0,2023,BRA-Serie A
2023-05-28,Atletico-MG,Palmeiras,1.0,1.0,2023,BRA-Serie A
2023-05-28,Botafogo RJ,America MG,2.0,0.0,2023,BRA-Serie A
2023-05-28,Bragantino,Santos,2.0,0.0,2023,BRA-Serie A
2023-05-28,Corinthians,Fluminense,2.0,0.0,2023,BRA-Serie A
2023-05-28,Internacional,Bahia,2.0,0.0,2023,BRA-Serie A
2023-05-28,Sao Paulo,Goias,2.0,1.0,2023,BRA-Serie A
2023-06-03,America MG,Corinthians,2.0,0.0,2023,BRA-Serie A
2023-06-03,Athletico-PR,Botafogo RJ,1.0,0.0,2023,BRA-Serie A
2023-06-03,Cruzeiro,Atletico-MG,0.0,1.0,2023,BRA-Serie A
2023-06-03,Fortaleza,Bahia,0.0,0.0,2023,BRA-Serie A
2023-06-04,Fluminense,Bragantino,2.0,1.0,2023,BRA-Serie A
2023-06-04,Goias,Cuiaba,0.0,1.0,2023,BRA-Serie A
2023-06-04,Gremio,Sao Paulo,2.0,1.0,2023,BRA-Serie A
2023-06-04,Palmeiras,Coritiba,3.0,1.0,2023,BRA-Serie A
2023-06-04,Santos,Internacional,1.0,1.0,2023,BRA-Serie A
2023-06-06,Vasco,Flamengo RJ,1.0,4.0,2023,BRA-Serie A
2023-06-10,Atletico-MG,Bragantino,1.0,1.0,2023,BRA-Serie A
2023-06-10,Bahia,Cruzeiro,2.0,2.0,2023,BRA-Serie A
2023-06-10,Corinthians,Cuiaba,1.0,1.0,2023,BRA-Serie A
2023-06-10,Coritiba,Santos,0.0,0.0,2023,BRA-Serie A
2023-06-11,America MG,Athletico-PR,2.0,2.0,2023,BRA-Serie A
2023-06-11,Botafogo RJ,Fortaleza,2.0,0.0,2023,BRA-Serie A
2023-06-11,Flamengo RJ,Gremio,3.0,0.0,2023,BRA-Serie A
2023-06-11,Goias,Fluminense,2.0,2.0,2023,BRA-Serie A
2023-06-11,Internacional,Vasco,2.0,1.0,2023,BRA-Serie A
2023-06-11,Sao Paulo,Palmeiras,0.0,2.0,2023,BRA-Serie A
2023-06-21,Cruzeiro,Fortaleza,0.0,1.0,2023,BRA-Serie A
2023-06-21,Sao Paulo,Athletico-PR,2.0,1.0,2023,BRA-Serie A
2023-06-22,Bahia,Palmeiras,1.0,0.0,2023,BRA-Serie A
2023-06-22,Fluminense,Atletico-MG,1.0,1.0,2023,BRA-Serie A
2023-06-22,Gremio,America MG,3.0,1.0,2023,BRA-Serie A
2023-06-22,Santos,Corinthians,0.0,2.0,2023,BRA-Serie A
2023-06-23,Bragantino,Flamengo RJ,4.0,0.0,2023,BRA-Serie A
2023-06-23,Coritiba,Internacional,0.0,1.0,2023,BRA-Serie A
2023-06-23,Cuiaba,Botafogo RJ,0.0,1.0,2023,BRA-Serie A
2023-06-23,Vasco,Goias,0.0,1.0,2023,BRA-Serie A
2023-06-24,Athletico-PR,Corinthians,1.0,0.0,2023,BRA-Serie A
2023-06-24,Fluminense,Bahia,2.0,1.0,2023,BRA-Serie A
2023-06-24,Fortaleza,Atletico-MG,2.0,1.0,2023,BRA-Serie A
2023-06-25,America MG,Internacional,1.0,2.0,2023,BRA-Serie A
2023-06-25,Bragantino,Goias,2.0,0.0,2023,BRA-Serie A
2023-06-25,Cruzeiro,Sao Paulo,1.0,0.0,2023,BRA-Serie A
2023-06-25,Gremio,Coritiba,5.0,1.0,2023,BRA-Serie A
2023-06-25,Palmeiras,Botafogo RJ,0.0,1.0,2023,BRA-Serie A
2023-06-25,Santos,Flamengo RJ,2.0,3.0,2023,BRA-Serie A
2023-06-27,Vasco,Cuiaba,1.0,0.0,2023,BRA-Serie A
2023-07-01,Bahia,Gremio,1.0,2.0,2023,BRA-Serie A
2023-07-01,Flamengo RJ,Fortaleza,2.0,0.0,2023,BRA-Serie A
2023-07-01,Sao Paulo,Fluminense,1.0,0.0,2023,BRA-Serie A
2023-07-02,Athletico-PR,Palmeiras,2.0,2.0,2023,BRA-Serie A
2023-07-02,Atletico-MG,America MG,2.0,2.0,2023,BRA-Serie A
2023-07-02,Botafogo RJ,Vasco,2.0,0.0,2023,BRA-Serie A
2023-07-02,Corinthians,Bragantino,0.0,1.0,2023,BRA-Serie A
2023-07-02,Cuiaba,Santos,3.0,0.0,2023,BRA-Serie A
2023-07-02,Internacional,Cruzeiro,0.0,0.0,2023,BRA-Serie A
2023-07-04,Goias,Coritiba,1.0,2.0,2023,BRA-Serie A
2023-07-08,Atletico-MG,Corinthians,0.0,1.0,2023,BRA-Serie A
2023-07-08,Coritiba,America MG,3.0,1.0,2023,BRA-Serie A
2023-07-08,Cuiaba,Bahia,1.0,1.0,2023,BRA-Serie A
2023-07-08,Vasco,Cruzeiro,0.0,1.0,2023,BRA-Serie A
2023-07-09,Bragantino,Sao Paulo,0.0,0.0,2023,BRA-Serie A
2023-07-09,Fluminense,Internacional,2.0,0.0,2023,BRA-Serie A
2023-07-09,Fortaleza,Athletico-PR,1.0,0.0,2023,BRA-Serie A
2023-07-09,Gremio,Botafogo RJ,0.0,2.0,2023,BRA-Serie A
2023-07-09,Palmeiras,Flamengo RJ,1.0,1.0,2023,BRA-Serie A
2023-07-09,Santos,Goias,4.0,3.0,2023,BRA-Serie A
2023-07-16,Athletico-PR,Bahia,2.0,0.0,2023,BRA-Serie A
2023-07-16,Botafogo RJ,Bragantino,2.0,0.0,2023,BRA-Serie A
2023-07-16,Cruzeiro,Coritiba,0.0,0.0,2023,BRA-Serie A
2023-07-16,Fluminense,Flamengo RJ,0.0,0.0,2023,BRA-Serie A
2023-07-16,Fortaleza,Cuiaba,0.0,1.0,2023,BRA-Serie A
2023-07-16,Internacional,Palmeiras,0.0,0.0,2023,BRA-Serie A
2023-07-16,Sao Paulo,Santos,4.0,1.0,2023,BRA-Serie A
2023-07-18,Goias,Atletico-MG,0.0,0.0,2023,BRA-Serie A
2023-07-22,Bahia,Corinthians,0.0,0.0,2023,BRA-Serie A
2023-07-22,Cuiaba,Sao Paulo,2.0,1.0,2023,BRA-Serie A
2023-07-22,Flamengo RJ,America MG,1.0,1.0,2023,BRA-Serie A
2023-07-22,Palmeiras,Fortaleza,3.0,1.0,2023,BRA-Serie A
2023-07-23,Bragantino,Internacional,0.0,0.0,2023,BRA-Serie A
2023-07-23,Cruzeiro,Goias,0.0,1.0,2023,BRA-Serie A
2023-07-23,Gremio,Atletico-MG,1.0,0.0,2023,BRA-Serie A
2023-07-23,Santos,Botafogo RJ,2.0,2.0,2023,BRA-Serie A
