date,home_team,away_team,home_score,away_score,season,league
2024-08-17,PAOK Saloniki,Panserraikos,3,2,2425,GRE-Super League
2024-08-17,Volos NFC,Olympiakos Piraeus,0,2,2425,GRE-Super League
2024-08-18,AEK Athen,OFI Heraklion,3,0,2425,GRE-Super League
2024-08-18,Atromitos,Aris Saloniki,1,1,2425,GRE-Super League
2024-08-18,Levadiakos,GS Kallithea,0,0,2425,GRE-Super League
2024-08-18,Panathinaikos,Asteras Tripolis,0,1,2425,GRE-Super League
2024-08-19,Panetolikos,Lamia,0,1,2425,GRE-Super League
2024-08-24,AEK Athen,Lamia,1,1,2425,GRE-Super League
2024-08-24,OFI Heraklion,Atromitos,1,1,2425,GRE-Super League
2024-08-24,Panserraikos,Aris Saloniki,0,1,2425,GRE-Super League
2024-08-25,Asteras Tripolis,Volos NFC,0,1,2425,GRE-Super League
2024-08-25,PAOK Saloniki,Panetolikos,2,0,2425,GRE-Super League
2024-08-25,Panathinaikos,Levadiakos,1,0,2425,GRE-Super League
2024-08-26,Olympiakos Piraeus,GS Kallithea,2,1,2425,GRE-Super League
2024-08-31,Aris Saloniki,Asteras Tripolis,1,1,2425,GRE-Super League
2024-08-31,Lamia,Olympiakos Piraeus,0,3,2425,GRE-Super League
2024-08-31,Panetolikos,Panserraikos,3,0,2425,GRE-Super League
2024-09-01,Atromitos,PAOK Saloniki,1,2,2425,GRE-Super League
2024-09-01,GS Kallithea,Panathinaikos,2,2,2425,GRE-Super League
2024-09-01,Levadiakos,AEK Athen,0,3,2425,GRE-Super League
2024-09-01,Volos NFC,OFI Heraklion,1,3,2425,GRE-Super League
2024-09-14,Asteras Tripolis,Atromitos,1,2,2425,GRE-Super League
2024-09-14,Lamia,GS Kallithea,0,0,2425,GRE-Super League
2024-09-15,OFI Heraklion,Aris Saloniki,3,2,2425,GRE-Super League
2024-09-15,Olympiakos Piraeus,Panetolikos,0,0,2425,GRE-Super League
2024-09-15,PAOK Saloniki,Panathinaikos,0,0,2425,GRE-Super League
2024-09-15,Panserraikos,Levadiakos,2,2,2425,GRE-Super League
2024-09-16,AEK Athen,Volos NFC,2,0,2425,GRE-Super League
2024-09-21,Aris Saloniki,Olympiakos Piraeus,2,1,2425,GRE-Super League
2024-09-21,Panetolikos,Asteras Tripolis,1,1,2425,GRE-Super League
2024-09-21,Volos NFC,PAOK Saloniki,1,4,2425,GRE-Super League
2024-09-22,Atromitos,Lamia,4,2,2425,GRE-Super League
2024-09-22,GS Kallithea,AEK Athen,0,0,2425,GRE-Super League
2024-09-22,Levadiakos,OFI Heraklion,1,1,2425,GRE-Super League
2024-09-22,Panathinaikos,Panserraikos,3,1,2425,GRE-Super League
2024-09-28,Asteras Tripolis,Levadiakos,1,1,2425,GRE-Super League
2024-09-28,Volos NFC,GS Kallithea,1,1,2425,GRE-Super League
