date,home_team,away_team,home_score,away_score,season,league
2023-09-20,Lille OSC,Olimpija Ljubljana,2,0,2324,INT-Conference League
2023-09-21,Club Brugge KV,Beşiktaş,1,1,2324,INT-Conference League
2023-09-21,Dinamo Zagreb,FK Astana,5,1,2324,INT-Conference League
2023-09-21,Eintracht Frankfurt,Aberdeen FC,2,1,2324,INT-Conference League
2023-09-21,FC Lugano,FK Bodø/Glimt,0,0,2324,INT-Conference League
2023-09-21,Fenerbahçe,FC Nordsjælland,3,1,2324,INT-Conference League
2023-09-21,Ferencvárosi TC,FK Čukarički,3,1,2324,INT-Conference League
2023-09-21,HJK Helsinki,PAOK Saloniki,2,3,2324,INT-Conference League
2023-09-21,KRC Genk,ACF Fiorentina,2,2,2324,INT-Conference League
2023-09-21,Legia Warszawa,Aston Villa,3,2,2324,INT-Conference League
2023-09-21,Maccabi Tel Aviv,Breiðablik,3,2,2324,INT-Conference League
2023-09-21,PFC Ludogorets Razgrad,Spartak Trnava,4,0,2324,INT-Conference League
2023-09-21,Slovan Bratislava,KÍ Klaksvík,2,1,2324,INT-Conference League
2023-09-21,Viktoria Plzeň,KF Ballkani,1,0,2324,INT-Conference League
2023-09-21,Zorya Lugansk,KAA Gent,1,1,2324,INT-Conference League
2023-09-21,Zrinjski Mostar,AZ Alkmaar,4,3,2324,INT-Conference League
2023-10-05,ACF Fiorentina,Ferencvárosi TC,2,2,2324,INT-Conference League
2023-10-05,AZ Alkmaar,Legia Warszawa,1,0,2324,INT-Conference League
2023-10-05,Aberdeen FC,HJK Helsinki,1,1,2324,INT-Conference League
2023-10-05,Aston Villa,Zrinjski Mostar,1,0,2324,INT-Conference League
2023-10-05,Beşiktaş,FC Lugano,2,3,2324,INT-Conference League
2023-10-05,Breiðablik,Zorya Lugansk,0,1,2324,INT-Conference League
2023-10-05,FC Nordsjælland,PFC Ludogorets Razgrad,7,1,2324,INT-Conference League
2023-10-05,FK Astana,Viktoria Plzeň,1,2,2324,INT-Conference League
2023-10-05,FK Bodø/Glimt,Club Brugge KV,0,1,2324,INT-Conference League
2023-10-05,FK Čukarički,KRC Genk,0,2,2324,INT-Conference League
2023-10-05,KAA Gent,Maccabi Tel Aviv,2,0,2324,INT-Conference League
2023-10-05,KF Ballkani,Dinamo Zagreb,2,0,2324,INT-Conference League
2023-10-05,KÍ Klaksvík,Lille OSC,0,0,2324,INT-Conference League
2023-10-05,Olimpija Ljubljana,Slovan Bratislava,0,1,2324,INT-Conference League
2023-10-05,PAOK Saloniki,Eintracht Frankfurt,2,1,2324,INT-Conference League
2023-10-05,Spartak Trnava,Fenerbahçe,1,2,2324,INT-Conference League
2023-10-26,ACF Fiorentina,FK Čukarički,6,0,2324,INT-Conference League
2023-10-26,AZ Alkmaar,Aston Villa,1,4,2324,INT-Conference League
2023-10-26,Aberdeen FC,PAOK Saloniki,2,3,2324,INT-Conference League
2023-10-26,Dinamo Zagreb,Viktoria Plzeň,0,1,2324,INT-Conference League
2023-10-26,Eintracht Frankfurt,HJK Helsinki,6,0,2324,INT-Conference League
2023-10-26,FC Lugano,Club Brugge KV,1,3,2324,INT-Conference League
2023-10-26,FK Bodø/Glimt,Beşiktaş,3,1,2324,INT-Conference League
2023-10-26,Fenerbahçe,PFC Ludogorets Razgrad,3,1,2324,INT-Conference League
2023-10-26,KAA Gent,Breiðablik,5,0,2324,INT-Conference League
2023-10-26,KF Ballkani,FK Astana,1,2,2324,INT-Conference League
2023-10-26,KRC Genk,Ferencvárosi TC,0,0,2324,INT-Conference League
2023-10-26,KÍ Klaksvík,Olimpija Ljubljana,3,0,2324,INT-Conference League
2023-10-26,Lille OSC,Slovan Bratislava,2,1,2324,INT-Conference League
2023-10-26,Spartak Trnava,FC Nordsjælland,0,2,2324,INT-Conference League
2023-10-26,Zrinjski Mostar,Legia Warszawa,1,2,2324,INT-Conference League
2023-11-09,Aston Villa,AZ Alkmaar,2,1,2324,INT-Conference League
2023-11-09,Beşiktaş,FK Bodø/Glimt,1,2,2324,INT-Conference League
2023-11-09,Breiðablik,KAA Gent,2,3,2324,INT-Conference League
2023-11-09,Club Brugge KV,FC Lugano,2,0,2324,INT-Conference League
2023-11-09,FC Nordsjælland,Spartak Trnava,1,1,2324,INT-Conference League
2023-11-09,FK Astana,KF Ballkani,0,0,2324,INT-Conference League
2023-11-09,FK Čukarički,ACF Fiorentina,0,1,2324,INT-Conference League
2023-11-09,Ferencvárosi TC,KRC Genk,1,1,2324,INT-Conference League
2023-11-09,HJK Helsinki,Eintracht Frankfurt,0,1,2324,INT-Conference League
2023-11-09,Legia Warszawa,Zrinjski Mostar,2,0,2324,INT-Conference League
2023-11-09,Olimpija Ljubljana,KÍ Klaksvík,2,0,2324,INT-Conference League
2023-11-09,PAOK Saloniki,Aberdeen FC,2,2,2324,INT-Conference League
2023-11-09,PFC Ludogorets Razgrad,Fenerbahçe,2,0,2324,INT-Conference League
2023-11-09,Slovan Bratislava,Lille OSC,1,1,2324,INT-Conference League
2023-11-09,Viktoria Plzeň,Dinamo Zagreb,1,0,2324,INT-Conference League
2023-11-09,Zorya Lugansk,Maccabi Tel Aviv,1,3,2324,INT-Conference League
2023-11-25,Maccabi Tel Aviv,Zorya Lugansk,3,2,2324,INT-Conference League
2023-11-30,ACF Fiorentina,KRC Genk,2,1,2324,INT-Conference League
2023-11-30,AZ Alkmaar,Zrinjski Mostar,1,0,2324,INT-Conference League
2023-11-30,Aston Villa,Legia Warszawa,2,1,2324,INT-Conference League
2023-11-30,Beşiktaş,Club Brugge KV,0,5,2324,INT-Conference League
2023-11-30,Breiðablik,Maccabi Tel Aviv,1,2,2324,INT-Conference League
2023-11-30,Eintracht Frankfurt,PAOK Saloniki,1,2,2324,INT-Conference League
2023-11-30,FC Nordsjælland,Fenerbahçe,6,1,2324,INT-Conference League
2023-11-30,FK Astana,Dinamo Zagreb,0,2,2324,INT-Conference League
2023-11-30,FK Bodø/Glimt,FC Lugano,5,2,2324,INT-Conference League
2023-11-30,FK Čukarički,Ferencvárosi TC,1,2,2324,INT-Conference League
2023-11-30,HJK Helsinki,Aberdeen FC,2,2,2324,INT-Conference League
2023-11-30,KAA Gent,Zorya Lugansk,4,1,2324,INT-Conference League
2023-11-30,KF Ballkani,Viktoria Plzeň,0,1,2324,INT-Conference League
2023-11-30,KÍ Klaksvík,Slovan Bratislava,1,2,2324,INT-Conference League
2023-11-30,Olimpija Ljubljana,Lille OSC,0,2,2324,INT-Conference League
2023-11-30,Spartak Trnava,PFC Ludogorets Razgrad,1,2,2324,INT-Conference League
2023-12-14,Aberdeen FC,Eintracht Frankfurt,2,0,2324,INT-Conference League
2023-12-14,Club Brugge KV,FK Bodø/Glimt,3,1,2324,INT-Conference League
2023-12-14,Dinamo Zagreb,KF Ballkani,3,0,2324,INT-Conference League
2023-12-14,FC Lugano,Beşiktaş,0,2,2324,INT-Conference League
2023-12-14,Fenerbahçe,Spartak Trnava,4,0,2324,INT-Conference League
2023-12-14,Ferencvárosi TC,ACF Fiorentina,1,1,2324,INT-Conference League
2023-12-14,KRC Genk,FK Čukarički,2,0,2324,INT-Conference League
2023-12-14,Legia Warszawa,AZ Alkmaar,2,0,2324,INT-Conference League
2023-12-14,Lille OSC,KÍ Klaksvík,3,0,2324,INT-Conference League
2023-12-14,Maccabi Tel Aviv,KAA Gent,3,1,2324,INT-Conference League
2023-12-14,PAOK Saloniki,HJK Helsinki,4,2,2324,INT-Conference League
2023-12-14,PFC Ludogorets Razgrad,FC Nordsjælland,1,0,2324,INT-Conference League
2023-12-14,Slovan Bratislava,Olimpija Ljubljana,1,2,2324,INT-Conference League
2023-12-14,Viktoria Plzeň,FK Astana,3,0,2324,INT-Conference League
2023-12-14,Zorya Lugansk,Breiðablik,4,0,2324,INT-Conference League
2023-12-14,Zrinjski Mostar,Aston Villa,1,1,2324,INT-Conference League
2024-02-15,AFC Ajax,FK Bodø/Glimt,2,2,2324,INT-Conference League
2024-02-15,Maccabi Haifa,KAA Gent,1,0,2324,INT-Conference League
2024-02-15,Molde FK,Legia Warszawa,3,2,2324,INT-Conference League
2024-02-15,Olympiakos Piraeus,Ferencvárosi TC,1,0,2324,INT-Conference League
2024-02-15,Real Betis,Dinamo Zagreb,0,1,2324,INT-Conference League
2024-02-15,Servette FC,PFC Ludogorets Razgrad,0,0,2324,INT-Conference League
2024-02-15,Sturm Graz,Slovan Bratislava,4,1,2324,INT-Conference League
2024-02-15,Union Saint-Gilloise,Eintracht Frankfurt,2,2,2324,INT-Conference League
2024-02-21,KAA Gent,Maccabi Haifa,1,1,2324,INT-Conference League
2024-02-22,Dinamo Zagreb,Real Betis,1,1,2324,INT-Conference League
2024-02-22,Eintracht Frankfurt,Union Saint-Gilloise,1,2,2324,INT-Conference League
2024-02-22,FK Bodø/Glimt,AFC Ajax,1,1,2324,INT-Conference League
2024-02-22,Ferencvárosi TC,Olympiakos Piraeus,0,1,2324,INT-Conference League
2024-02-22,Legia Warszawa,Molde FK,0,3,2324,INT-Conference League
2024-02-22,PFC Ludogorets Razgrad,Servette FC,0,1,2324,INT-Conference League
2024-02-22,Slovan Bratislava,Sturm Graz,0,1,2324,INT-Conference League
2024-03-07,AFC Ajax,Aston Villa,0,0,2324,INT-Conference League
2024-03-07,Dinamo Zagreb,PAOK Saloniki,2,0,2324,INT-Conference League
2024-03-07,Maccabi Haifa,ACF Fiorentina,3,4,2324,INT-Conference League
2024-03-07,Molde FK,Club Brugge KV,2,1,2324,INT-Conference League
2024-03-07,Olympiakos Piraeus,Maccabi Tel Aviv,1,4,2324,INT-Conference League
2024-03-07,Servette FC,Viktoria Plzeň,0,0,2324,INT-Conference League
2024-03-07,Sturm Graz,Lille OSC,0,3,2324,INT-Conference League
2024-03-07,Union Saint-Gilloise,Fenerbahçe,0,3,2324,INT-Conference League
2024-03-14,ACF Fiorentina,Maccabi Haifa,1,1,2324,INT-Conference League
2024-03-14,Aston Villa,AFC Ajax,4,0,2324,INT-Conference League
2024-03-14,Club Brugge KV,Molde FK,3,0,2324,INT-Conference League
2024-03-14,Fenerbahçe,Union Saint-Gilloise,0,1,2324,INT-Conference League
2024-03-14,Lille OSC,Sturm Graz,1,1,2324,INT-Conference League
2024-03-14,Maccabi Tel Aviv,Olympiakos Piraeus,1,4,2324,INT-Conference League
2024-03-14,PAOK Saloniki,Dinamo Zagreb,5,1,2324,INT-Conference League
2024-03-14,Viktoria Plzeň,Servette FC,0,0,2324,INT-Conference League
2024-04-11,Aston Villa,Lille OSC,2,1,2324,INT-Conference League
2024-04-11,Club Brugge KV,PAOK Saloniki,1,0,2324,INT-Conference League
2024-04-11,Olympiakos Piraeus,Fenerbahçe,3,2,2324,INT-Conference League
2024-04-11,Viktoria Plzeň,ACF Fiorentina,0,0,2324,INT-Conference League
2024-04-18,ACF Fiorentina,Viktoria Plzeň,0,0,2324,INT-Conference League
2024-04-18,Fenerbahçe,Olympiakos Piraeus,1,0,2324,INT-Conference League
2024-04-18,Lille OSC,Aston Villa,2,1,2324,INT-Conference League
2024-04-18,PAOK Saloniki,Club Brugge KV,0,2,2324,INT-Conference League
2024-05-02,ACF Fiorentina,Club Brugge KV,3,2,2324,INT-Conference League
2024-05-02,Aston Villa,Olympiakos Piraeus,2,4,2324,INT-Conference League
2024-05-08,Club Brugge KV,ACF Fiorentina,1,1,2324,INT-Conference League
2024-05-09,Olympiakos Piraeus,Aston Villa,2,0,2324,INT-Conference League
2024-05-29,Olympiakos Piraeus,ACF Fiorentina,0,0,2324,INT-Conference League
2024-07-10,FK Auda,B36 Tórshavn,2,0,2425,INT-Conference League
2024-07-10,Velež Mostar,Inter Club d'Escaldes,1,1,2425,INT-Conference League
2024-07-11,Atlétic Escaldes,F91 Dudelange,0,1,2425,INT-Conference League
2024-07-11,Bala Town,Paide Linnameeskond,1,2,2425,INT-Conference League
2024-07-11,Caernarfon Town,Crusaders FC,2,0,2425,INT-Conference League
2024-07-11,FA Šiauliai,FCI Levadia,0,2,2425,INT-Conference League
2024-07-11,FC Noah,KF Shkëndija 79,2,0,2425,INT-Conference League
2024-07-11,FCB Magpies,Derry City,2,0,2425,INT-Conference League
2024-07-11,FK Aktobe,FK Sarajevo,0,1,2425,INT-Conference League
2024-07-11,FK Liepāja,Víkingur,1,1,2425,INT-Conference League
2024-07-11,FK Mornar,Dinamo Tbilisi,2,1,2425,INT-Conference League
2024-07-11,FK Partizani,Marsaxlokk FC,1,1,2425,INT-Conference League
2024-07-11,Floriana FC,SP Tre Penne,3,1,2425,INT-Conference League
2024-07-11,GFK Tikvesh,Breiðablik,3,2,2425,INT-Conference League
2024-07-11,JK Tallinna Kalev,FC Urartu,1,2,2425,INT-Conference League
2024-07-11,KF Malisheva,FK Budućnost Podgorica,1,0,2425,INT-Conference League
2024-07-11,NK Bravo,Connah's Quay Nomads,0,1,2425,INT-Conference League
2024-07-11,SP La Fiorita,FK Isloch Minsk,0,1,2425,INT-Conference League
2024-07-11,Shelbourne FC,St. Joseph's FC,2,1,2425,INT-Conference League
2024-07-11,Torpedo Kutaisi,KF Tiranë,1,1,2425,INT-Conference League
2024-07-11,Torpedo-BelAZ Zhodino,FC Milsami,2,4,2425,INT-Conference League
2024-07-11,UMF Stjarnan,Linfield FC,2,0,2425,INT-Conference League
2024-07-11,UNA Strassen,Kuopion PS,0,0,2425,INT-Conference League
2024-07-11,Vaasan PS,FK Žalgiris,1,2,2425,INT-Conference League
2024-07-11,Valur Reykjavík,FK Vllaznia,2,2,2425,INT-Conference League
2024-07-17,B36 Tórshavn,FK Auda,0,1,2425,INT-Conference League
2024-07-17,Crusaders FC,Caernarfon Town,3,1,2425,INT-Conference League
2024-07-18,Breiðablik,GFK Tikvesh,3,1,2425,INT-Conference League
2024-07-18,Connah's Quay Nomads,NK Bravo,0,1,2425,INT-Conference League
2024-07-18,Derry City,FCB Magpies,2,0,2425,INT-Conference League
2024-07-18,Dinamo Tbilisi,FK Mornar,1,1,2425,INT-Conference League
2024-07-18,F91 Dudelange,Atlétic Escaldes,2,0,2425,INT-Conference League
2024-07-18,FC Milsami,Torpedo-BelAZ Zhodino,0,0,2425,INT-Conference League
2024-07-18,FC Urartu,JK Tallinna Kalev,2,0,2425,INT-Conference League
2024-07-18,FCI Levadia,FA Šiauliai,0,0,2425,INT-Conference League
2024-07-18,FK Budućnost Podgorica,KF Malisheva,3,0,2425,INT-Conference League
2024-07-18,FK Isloch Minsk,SP La Fiorita,0,1,2425,INT-Conference League
2024-07-18,FK Sarajevo,FK Aktobe,1,2,2425,INT-Conference League
2024-07-18,FK Vllaznia,Valur Reykjavík,0,4,2425,INT-Conference League
2024-07-18,FK Žalgiris,Vaasan PS,1,0,2425,INT-Conference League
2024-07-18,Inter Club d'Escaldes,Velež Mostar,5,1,2425,INT-Conference League
2024-07-18,KF Shkëndija 79,FC Noah,1,2,2425,INT-Conference League
2024-07-18,KF Tiranë,Torpedo Kutaisi,0,1,2425,INT-Conference League
2024-07-18,Kuopion PS,UNA Strassen,5,0,2425,INT-Conference League
2024-07-18,Linfield FC,UMF Stjarnan,3,2,2425,INT-Conference League
2024-07-18,Marsaxlokk FC,FK Partizani,1,2,2425,INT-Conference League
2024-07-18,Paide Linnameeskond,Bala Town,0,1,2425,INT-Conference League
2024-07-18,SP Tre Penne,Floriana FC,1,1,2425,INT-Conference League
2024-07-18,St. Joseph's FC,Shelbourne FC,1,1,2425,INT-Conference League
2024-07-18,Víkingur,FK Liepāja,2,0,2425,INT-Conference League
2024-07-23,FC Differdange 03,FK Ordabasy,1,0,2425,INT-Conference League
2024-07-23,KF Ballkani,Hamrun Spartans,0,0,2425,INT-Conference League
2024-07-23,SS Virtus,FC Flora,0,0,2425,INT-Conference League
2024-07-24,AEK Athen,Inter Club d'Escaldes,4,3,2425,INT-Conference League
2024-07-24,Cliftonville FC,FK Auda,1,2,2425,INT-Conference League
2024-07-24,Dinamo Batumi,FK Dečić Tuzi,0,2,2425,INT-Conference League
2024-07-24,FC Struga,Pyunik FC,2,1,2425,INT-Conference League
2024-07-24,Riga FC,Śląsk Wrocław,1,0,2425,INT-Conference League
2024-07-25,Baník Ostrava,FC Urartu,5,1,2425,INT-Conference League
2024-07-25,Breiðablik,Drita Gjilan,1,2,2425,INT-Conference League
2024-07-25,Brøndby IF,KF Llapi,6,0,2425,INT-Conference League
2024-07-25,CFR Cluj,Neman Grodno,0,0,2425,INT-Conference League
