date,home_team,away_team,home_score,away_score,season,league
2023-09-21,AC Sparta Praha,Aris Limassol,3,2,2324,INT-Europa League
2023-09-21,AFC Ajax,Olympique Marseille,3,3,2324,INT-Europa League
2023-09-21,Atalanta,Raków Częstochowa,2,0,2324,INT-Europa League
2023-09-21,Bayer Leverkusen,BK Häcken,4,0,2324,INT-Europa League
2023-09-21,Brighton & Hove Albion,AEK Athen,2,3,2324,INT-Europa League
2023-09-21,FC Sheriff,AS Roma,1,2,2324,INT-Europa League
2023-09-21,LASK,Liverpool FC,1,3,2324,INT-Europa League
2023-09-21,Olympiakos Piraeus,SC Freiburg,2,3,2324,INT-Europa League
2023-09-21,Panathinaikos,Villarreal CF,2,0,2324,INT-Europa League
2023-09-21,Qarabağ FK,Molde FK,1,0,2324,INT-Europa League
2023-09-21,Rangers FC,Real Betis,1,0,2324,INT-Europa League
2023-09-21,Servette FC,Slavia Praha,0,2,2324,INT-Europa League
2023-09-21,Stade Rennais,Maccabi Haifa,3,0,2324,INT-Europa League
2023-09-21,Sturm Graz,Sporting CP,1,2,2324,INT-Europa League
2023-09-21,Union Saint-Gilloise,Toulouse FC,1,1,2324,INT-Europa League
2023-09-21,West Ham United,TSC Bačka Topola,3,1,2324,INT-Europa League
2023-10-05,AEK Athen,AFC Ajax,1,1,2324,INT-Europa League
2023-10-05,AS Roma,Servette FC,4,0,2324,INT-Europa League
2023-10-05,Aris Limassol,Rangers FC,2,1,2324,INT-Europa League
2023-10-05,BK Häcken,Qarabağ FK,0,1,2324,INT-Europa League
2023-10-05,Liverpool FC,Union Saint-Gilloise,2,0,2324,INT-Europa League
2023-10-05,Maccabi Haifa,Panathinaikos,0,0,2324,INT-Europa League
2023-10-05,Molde FK,Bayer Leverkusen,1,2,2324,INT-Europa League
2023-10-05,Olympique Marseille,Brighton & Hove Albion,2,2,2324,INT-Europa League
2023-10-05,Raków Częstochowa,Sturm Graz,0,1,2324,INT-Europa League
2023-10-05,Real Betis,AC Sparta Praha,2,1,2324,INT-Europa League
2023-10-05,SC Freiburg,West Ham United,1,2,2324,INT-Europa League
2023-10-05,Slavia Praha,FC Sheriff,6,0,2324,INT-Europa League
2023-10-05,Sporting CP,Atalanta,1,2,2324,INT-Europa League
2023-10-05,TSC Bačka Topola,Olympiakos Piraeus,2,2,2324,INT-Europa League
2023-10-05,Toulouse FC,LASK,1,0,2324,INT-Europa League
2023-10-05,Villarreal CF,Stade Rennais,1,0,2324,INT-Europa League
2023-10-26,AC Sparta Praha,Rangers FC,0,0,2324,INT-Europa League
2023-10-26,AS Roma,Slavia Praha,2,0,2324,INT-Europa League
2023-10-26,Aris Limassol,Real Betis,0,1,2324,INT-Europa League
2023-10-26,Bayer Leverkusen,Qarabağ FK,5,1,2324,INT-Europa League
2023-10-26,Brighton & Hove Albion,AFC Ajax,2,0,2324,INT-Europa League
2023-10-26,FC Sheriff,Servette FC,1,1,2324,INT-Europa League
2023-10-26,Liverpool FC,Toulouse FC,5,1,2324,INT-Europa League
2023-10-26,Molde FK,BK Häcken,5,1,2324,INT-Europa League
2023-10-26,Olympiakos Piraeus,West Ham United,2,1,2324,INT-Europa League
2023-10-26,Olympique Marseille,AEK Athen,3,1,2324,INT-Europa League
2023-10-26,Panathinaikos,Stade Rennais,1,2,2324,INT-Europa League
2023-10-26,Raków Częstochowa,Sporting CP,1,1,2324,INT-Europa League
2023-10-26,Sturm Graz,Atalanta,2,2,2324,INT-Europa League
2023-10-26,TSC Bačka Topola,SC Freiburg,1,3,2324,INT-Europa League
2023-10-26,Union Saint-Gilloise,LASK,2,1,2324,INT-Europa League
2023-11-09,AEK Athen,Olympique Marseille,0,2,2324,INT-Europa League
2023-11-09,AFC Ajax,Brighton & Hove Albion,0,2,2324,INT-Europa League
2023-11-09,Atalanta,Sturm Graz,1,0,2324,INT-Europa League
2023-11-09,BK Häcken,Molde FK,1,3,2324,INT-Europa League
2023-11-09,LASK,Union Saint-Gilloise,3,0,2324,INT-Europa League
2023-11-09,Maccabi Haifa,Villarreal CF,1,2,2324,INT-Europa League
2023-11-09,Qarabağ FK,Bayer Leverkusen,0,1,2324,INT-Europa League
2023-11-09,Rangers FC,AC Sparta Praha,2,1,2324,INT-Europa League
2023-11-09,Real Betis,Aris Limassol,4,1,2324,INT-Europa League
2023-11-09,SC Freiburg,TSC Bačka Topola,5,0,2324,INT-Europa League
2023-11-09,Servette FC,FC Sheriff,2,1,2324,INT-Europa League
2023-11-09,Slavia Praha,AS Roma,2,0,2324,INT-Europa League
2023-11-09,Sporting CP,Raków Częstochowa,2,1,2324,INT-Europa League
2023-11-09,Stade Rennais,Panathinaikos,3,1,2324,INT-Europa League
2023-11-09,Toulouse FC,Liverpool FC,3,2,2324,INT-Europa League
2023-11-09,West Ham United,Olympiakos Piraeus,1,0,2324,INT-Europa League
2023-11-30,AC Sparta Praha,Real Betis,1,0,2324,INT-Europa League
2023-11-30,AEK Athen,Brighton & Hove Albion,0,1,2324,INT-Europa League
2023-11-30,Atalanta,Sporting CP,1,1,2324,INT-Europa League
2023-11-30,BK Häcken,Bayer Leverkusen,0,2,2324,INT-Europa League
2023-11-30,FC Sheriff,Slavia Praha,2,3,2324,INT-Europa League
2023-11-30,Liverpool FC,LASK,4,0,2324,INT-Europa League
2023-11-30,Maccabi Haifa,Stade Rennais,0,3,2324,INT-Europa League
2023-11-30,Molde FK,Qarabağ FK,2,2,2324,INT-Europa League
2023-11-30,Olympique Marseille,AFC Ajax,4,3,2324,INT-Europa League
2023-11-30,Rangers FC,Aris Limassol,1,1,2324,INT-Europa League
2023-11-30,SC Freiburg,Olympiakos Piraeus,5,0,2324,INT-Europa League
2023-11-30,Servette FC,AS Roma,1,1,2324,INT-Europa League
2023-11-30,Sturm Graz,Raków Częstochowa,0,1,2324,INT-Europa League
2023-11-30,TSC Bačka Topola,West Ham United,0,1,2324,INT-Europa League
2023-11-30,Toulouse FC,Union Saint-Gilloise,0,0,2324,INT-Europa League
2023-11-30,Villarreal CF,Panathinaikos,3,2,2324,INT-Europa League
2023-12-06,Villarreal CF,Maccabi Haifa,0,0,2324,INT-Europa League
2023-12-14,AFC Ajax,AEK Athen,3,1,2324,INT-Europa League
2023-12-14,AS Roma,FC Sheriff,3,0,2324,INT-Europa League
2023-12-14,Aris Limassol,AC Sparta Praha,1,3,2324,INT-Europa League
