date,home_team,away_team,home_score,away_score,season,league
2024-08-09,Sp Lisbon,Rio Ave,3,1,2425,POR-Primeira Liga
2024-08-10,AVS,Nacional,1,1,2425,POR-Primeira Liga
2024-08-10,Casa Pia,Boavista,0,1,2425,POR-Primeira Liga
2024-08-10,Porto,Gil Vicente,3,0,2425,POR-Primeira Liga
2024-08-11,Estoril,Santa Clara,1,4,2425,POR-Primeira Liga
2024-08-11,Famalicao,Benfica,2,0,2425,POR-Primeira Liga
2024-08-11,Farense,Moreirense,1,2,2425,POR-Primeira Liga
2024-08-11,Sp Braga,Estrela,1,1,2425,POR-Primeira Liga
2024-08-12,Arouca,Guimaraes,0,1,2425,POR-Primeira Liga
2024-08-16,Gil Vicente,AVS,4,2,2425,POR-Primeira Liga
2024-08-16,Santa Clara,Porto,0,2,2425,POR-Primeira Liga
2024-08-17,Benfica,Casa Pia,3,0,2425,POR-Primeira Liga
2024-08-17,Nacional,Sp Lisbon,1,6,2425,POR-Primeira Liga
2024-08-17,Rio Ave,Farense,1,0,2425,POR-Primeira Liga
2024-08-18,Boavista,Sp Braga,0,1,2425,POR-Primeira Liga
2024-08-18,Guimaraes,Estoril,1,0,2425,POR-Primeira Liga
2024-08-18,Moreirense,Arouca,3,1,2425,POR-Primeira Liga
2024-08-19,Estrela,Famalicao,0,3,2425,POR-Primeira Liga
2024-08-23,Farense,Sp Lisbon,0,5,2425,POR-Primeira Liga
2024-08-24,Benfica,Estrela,1,0,2425,POR-Primeira Liga
2024-08-24,Casa Pia,Santa Clara,0,2,2425,POR-Primeira Liga
2024-08-24,Famalicao,Boavista,1,0,2425,POR-Primeira Liga
2024-08-24,Porto,Rio Ave,2,0,2425,POR-Primeira Liga
2024-08-25,AVS,Guimaraes,1,0,2425,POR-Primeira Liga
2024-08-25,Arouca,Nacional,1,0,2425,POR-Primeira Liga
2024-08-25,Estoril,Gil Vicente,0,0,2425,POR-Primeira Liga
2024-08-25,Sp Braga,Moreirense,3,1,2425,POR-Primeira Liga
2024-08-30,Moreirense,Benfica,1,1,2425,POR-Primeira Liga
2024-08-31,Boavista,Estoril,0,0,2425,POR-Primeira Liga
2024-08-31,Estrela,Casa Pia,0,1,2425,POR-Primeira Liga
2024-08-31,Santa Clara,AVS,2,1,2425,POR-Primeira Liga
2024-08-31,Sp Lisbon,Porto,2,0,2425,POR-Primeira Liga
