date,home_team,away_team,home_score,away_score,season,league
2024-08-09,Galatasaray,Hatayspor,2,1,2425,TUR-Super Lig
2024-08-10,Antalyaspor,Göztepe,0,0,2425,TUR-Super Lig
2024-08-10,Fenerbahçe,Adana Demirspor,1,0,2425,TUR-Super Lig
2024-08-10,Kasımpaşa SK,Konyaspor,2,3,2425,TUR-Super Lig
2024-08-11,Alanyaspor,Eyüpspor,1,1,2425,TUR-Super Lig
2024-08-11,Samsunspor,Beşiktaş,0,2,2425,TUR-Super Lig
2024-08-11,Sivasspor,Trabzonspor,0,0,2425,TUR-Super Lig
2024-08-12,Bodrum FK,Gaziantep FK,0,1,2425,TUR-Super Lig
2024-08-12,Çaykur Rizespor,İstanbul Başakşehir,1,1,2425,TUR-Super Lig
2024-08-16,Konyaspor,Galatasaray,1,2,2425,TUR-Super Lig
2024-08-17,Adana Demirspor,Çaykur Rizespor,1,2,2425,TUR-Super Lig
2024-08-17,Göztepe,Fenerbahçe,2,2,2425,TUR-Super Lig
2024-08-17,Kayserispor,Sivasspor,1,2,2425,TUR-Super Lig
2024-08-18,Beşiktaş,Antalyaspor,4,2,2425,TUR-Super Lig
2024-08-18,Gaziantep FK,Samsunspor,0,1,2425,TUR-Super Lig
2024-08-18,İstanbul Başakşehir,Alanyaspor,4,2,2425,TUR-Super Lig
2024-08-19,Eyüpspor,Bodrum FK,4,1,2425,TUR-Super Lig
2024-08-19,Hatayspor,Kasımpaşa SK,1,1,2425,TUR-Super Lig
2024-08-23,Alanyaspor,Göztepe,1,1,2425,TUR-Super Lig
2024-08-24,Bodrum FK,Konyaspor,3,1,2425,TUR-Super Lig
2024-08-24,Sivasspor,Eyüpspor,0,1,2425,TUR-Super Lig
2024-08-25,Antalyaspor,Hatayspor,3,2,2425,TUR-Super Lig
2024-08-25,Kasımpaşa SK,Adana Demirspor,2,2,2425,TUR-Super Lig
2024-08-25,Çaykur Rizespor,Fenerbahçe,0,5,2425,TUR-Super Lig
2024-08-30,Fenerbahçe,Alanyaspor,3,0,2425,TUR-Super Lig
2024-08-31,Adana Demirspor,Galatasaray,1,5,2425,TUR-Super Lig
2024-08-31,Göztepe,Bodrum FK,2,0,2425,TUR-Super Lig
2024-08-31,Konyaspor,Kayserispor,0,0,2425,TUR-Super Lig
2024-08-31,Çaykur Rizespor,Kasımpaşa SK,0,1,2425,TUR-Super Lig
2024-09-01,Beşiktaş,Sivasspor,2,0,2425,TUR-Super Lig
2024-09-01,Eyüpspor,Trabzonspor,0,0,2425,TUR-Super Lig
2024-09-01,Hatayspor,Samsunspor,0,3,2425,TUR-Super Lig
2024-09-01,İstanbul Başakşehir,Antalyaspor,5,2,2425,TUR-Super Lig
2024-09-14,Bodrum FK,İstanbul Başakşehir,0,1,2425,TUR-Super Lig
2024-09-14,Galatasaray,Çaykur Rizespor,5,0,2425,TUR-Super Lig
2024-09-14,Samsunspor,Konyaspor,0,1,2425,TUR-Super Lig
2024-09-14,Sivasspor,Gaziantep FK,3,2,2425,TUR-Super Lig
2024-09-15,Alanyaspor,Hatayspor,0,0,2425,TUR-Super Lig
2024-09-15,Kasımpaşa SK,Fenerbahçe,0,2,2425,TUR-Super Lig
2024-09-15,Kayserispor,Eyüpspor,2,2,2425,TUR-Super Lig
2024-09-15,Trabzonspor,Beşiktaş,1,1,2425,TUR-Super Lig
2024-09-16,Antalyaspor,Adana Demirspor,2,1,2425,TUR-Super Lig
2024-09-17,Galatasaray,Gaziantep FK,3,1,2425,TUR-Super Lig
2024-09-18,Samsunspor,İstanbul Başakşehir,2,0,2425,TUR-Super Lig
2024-09-19,Trabzonspor,Kayserispor,2,2,2425,TUR-Super Lig
2024-09-20,Hatayspor,Bodrum FK,0,1,2425,TUR-Super Lig
2024-09-21,Fenerbahçe,Galatasaray,1,3,2425,TUR-Super Lig
2024-09-21,Konyaspor,Sivasspor,0,0,2425,TUR-Super Lig
2024-09-22,Adana Demirspor,Alanyaspor,0,2,2425,TUR-Super Lig
2024-09-22,Beşiktaş,Eyüpspor,2,1,2425,TUR-Super Lig
2024-09-22,Kasımpaşa SK,Antalyaspor,0,0,2425,TUR-Super Lig
2024-09-22,Çaykur Rizespor,Samsunspor,0,1,2425,TUR-Super Lig
2024-09-23,Gaziantep FK,Trabzonspor,0,0,2425,TUR-Super Lig
2024-09-23,Göztepe,Kayserispor,3,0,2425,TUR-Super Lig
2024-09-27,Sivasspor,İstanbul Başakşehir,1,2,2425,TUR-Super Lig
2024-09-28,Alanyaspor,Çaykur Rizespor,1,0,2425,TUR-Super Lig
2024-09-28,Galatasaray,Kasımpaşa SK,3,3,2425,TUR-Super Lig
2024-09-28,Samsunspor,Göztepe,4,3,2425,TUR-Super Lig
2024-09-29,Antalyaspor,Fenerbahçe,0,2,2425,TUR-Super Lig
2024-09-29,Bodrum FK,Adana Demirspor,3,1,2425,TUR-Super Lig
2024-09-29,Eyüpspor,Gaziantep FK,3,2,2425,TUR-Super Lig
2024-09-29,Trabzonspor,Konyaspor,3,2,2425,TUR-Super Lig
2024-09-30,Kayserispor,Beşiktaş,0,3,2425,TUR-Super Lig
2024-10-04,Çaykur Rizespor,Antalyaspor,2,1,2425,TUR-Super Lig
2024-10-05,Göztepe,Sivasspor,3,2,2425,TUR-Super Lig
2024-10-05,Hatayspor,Trabzonspor,1,1,2425,TUR-Super Lig
2024-10-05,Kasımpaşa SK,Bodrum FK,0,0,2425,TUR-Super Lig
2024-10-05,İstanbul Başakşehir,Kayserispor,1,1,2425,TUR-Super Lig
2024-10-06,Adana Demirspor,Samsunspor,1,3,2425,TUR-Super Lig
2024-10-06,Galatasaray,Alanyaspor,1,0,2425,TUR-Super Lig
2024-10-06,Gaziantep FK,Beşiktaş,1,1,2425,TUR-Super Lig
2024-10-06,Konyaspor,Eyüpspor,2,1,2425,TUR-Super Lig
2024-10-19,Antalyaspor,Galatasaray,0,3,2425,TUR-Super Lig
2024-10-19,Eyüpspor,Göztepe,1,0,2425,TUR-Super Lig
2024-10-19,Kayserispor,Gaziantep FK,2,2,2425,TUR-Super Lig
2024-10-19,Trabzonspor,İstanbul Başakşehir,1,0,2425,TUR-Super Lig
2024-10-20,Alanyaspor,Kasımpaşa SK,1,2,2425,TUR-Super Lig
2024-10-20,Beşiktaş,Konyaspor,2,0,2425,TUR-Super Lig
2024-10-20,Samsunspor,Fenerbahçe,2,2,2425,TUR-Super Lig
2024-10-20,Sivasspor,Hatayspor,3,2,2425,TUR-Super Lig
2024-10-21,Bodrum FK,Çaykur Rizespor,0,1,2425,TUR-Super Lig
2024-10-25,Adana Demirspor,Sivasspor,2,4,2425,TUR-Super Lig
2024-10-26,Göztepe,Trabzonspor,2,1,2425,TUR-Super Lig
2024-10-26,Hatayspor,Kayserispor,0,1,2425,TUR-Super Lig
2024-10-26,Kasımpaşa SK,Samsunspor,1,4,2425,TUR-Super Lig
2024-10-27,Alanyaspor,Antalyaspor,1,2,2425,TUR-Super Lig
2024-10-27,Fenerbahçe,Bodrum FK,2,0,2425,TUR-Super Lig
2024-10-27,Gaziantep FK,Konyaspor,3,1,2425,TUR-Super Lig
2024-10-28,Galatasaray,Beşiktaş,2,1,2425,TUR-Super Lig
2024-10-28,İstanbul Başakşehir,Eyüpspor,1,1,2425,TUR-Super Lig
2024-11-01,Gaziantep FK,Göztepe,2,1,2425,TUR-Super Lig
2024-11-02,Beşiktaş,Kasımpaşa SK,1,3,2425,TUR-Super Lig
2024-11-02,Kayserispor,Adana Demirspor,0,0,2425,TUR-Super Lig
2024-11-02,Sivasspor,Çaykur Rizespor,2,1,2425,TUR-Super Lig
2024-11-03,Bodrum FK,Alanyaspor,0,0,2425,TUR-Super Lig
2024-11-03,Eyüpspor,Hatayspor,2,0,2425,TUR-Super Lig
2024-11-03,Konyaspor,İstanbul Başakşehir,3,2,2425,TUR-Super Lig
2024-11-03,Trabzonspor,Fenerbahçe,2,3,2425,TUR-Super Lig
2024-11-04,Samsunspor,Antalyaspor,2,0,2425,TUR-Super Lig
2024-11-08,Kasımpaşa SK,Kayserispor,1,2,2425,TUR-Super Lig
2024-11-09,Adana Demirspor,Eyüpspor,0,1,2425,TUR-Super Lig
2024-11-09,Antalyaspor,Bodrum FK,3,2,2425,TUR-Super Lig
2024-11-09,Hatayspor,Gaziantep FK,3,1,2425,TUR-Super Lig
2024-11-09,Çaykur Rizespor,Trabzonspor,3,1,2425,TUR-Super Lig
2024-11-10,Fenerbahçe,Sivasspor,4,0,2425,TUR-Super Lig
2024-11-10,Galatasaray,Samsunspor,3,2,2425,TUR-Super Lig
2024-11-10,Göztepe,Konyaspor,2,0,2425,TUR-Super Lig
2024-11-10,İstanbul Başakşehir,Beşiktaş,0,0,2425,TUR-Super Lig
2024-11-23,Bodrum FK,Galatasaray,0,1,2425,TUR-Super Lig
2024-11-23,Eyüpspor,Çaykur Rizespor,1,2,2425,TUR-Super Lig
2024-11-23,Gaziantep FK,İstanbul Başakşehir,3,0,2425,TUR-Super Lig
2024-11-23,Kayserispor,Fenerbahçe,2,6,2425,TUR-Super Lig
2024-11-24,Beşiktaş,Göztepe,2,4,2425,TUR-Super Lig
2024-11-24,Konyaspor,Hatayspor,1,1,2425,TUR-Super Lig
2024-11-24,Samsunspor,Alanyaspor,1,1,2425,TUR-Super Lig
2024-11-24,Sivasspor,Kasımpaşa SK,0,0,2425,TUR-Super Lig
2024-11-25,Trabzonspor,Adana Demirspor,5,0,2425,TUR-Super Lig
2024-11-29,Antalyaspor,Sivasspor,2,1,2425,TUR-Super Lig
2024-11-30,Adana Demirspor,Konyaspor,0,1,2425,TUR-Super Lig
2024-11-30,Alanyaspor,Trabzonspor,2,1,2425,TUR-Super Lig
2024-11-30,Samsunspor,Bodrum FK,4,0,2425,TUR-Super Lig
2024-11-30,İstanbul Başakşehir,Göztepe,4,1,2425,TUR-Super Lig
2024-12-01,Galatasaray,Eyüpspor,2,2,2425,TUR-Super Lig
2024-12-01,Çaykur Rizespor,Kayserispor,3,0,2425,TUR-Super Lig
2024-12-02,Fenerbahçe,Gaziantep FK,3,1,2425,TUR-Super Lig
2024-12-02,Hatayspor,Beşiktaş,1,1,2425,TUR-Super Lig
2024-12-06,Trabzonspor,Kasımpaşa SK,2,2,2425,TUR-Super Lig
2024-12-07,Beşiktaş,Fenerbahçe,1,0,2425,TUR-Super Lig
2024-12-07,Göztepe,Adana Demirspor,3,1,2425,TUR-Super Lig
2024-12-07,Konyaspor,Antalyaspor,1,1,2425,TUR-Super Lig
2024-12-08,Eyüpspor,Samsunspor,3,0,2425,TUR-Super Lig
