date,home_team,away_team,home_score,away_score,league,season,home_xg,away_xg,lahde,vaihe,home_uefa_id,away_uefa_id,home_maa,away_maa,home_nimet,away_nimet
2023-06-27,Atlètic Club d'Escaldes,FK Budućnost Podgorica,0,3,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,88371,53078,AND,MNE,Atlètic Club d'Escaldes|At. Escaldes,FK Budućnost Podgorica|Budućnost
2023-06-27,SP Tre Penne,Breiðablik,1,7,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,64515,71235,SMR,ISL,SP Tre Penne|Tre Penne,Breiðablik
2023-06-30,FK Budućnost Podgorica,Breiðablik,0,5,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,53078,71235,MNE,ISL,FK Budućnost Podgorica|Budućnost,Breiðablik
2023-07-11,FC Urartu,HŠK Zrinjski Mostar,0,1,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,77866,73390,ARM,BIH,FC Urartu|Urartu,HŠK Zrinjski Mostar|Zrinjski
2023-07-11,Lincoln Red Imps FC,Qarabağ FK,1,2,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,2605572,60609,GIB,AZE,Lincoln Red Imps FC|L. Red Imps,Qarabağ FK|Qarabağ
2023-07-11,FK Žalgiris,FC Struga,0,0,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,2602334,2609278,LTU,MKD,FK Žalgiris|Žalgiris,FC Struga|Struga
2023-07-11,NK Olimpija Ljubljana,Valmiera FC,2,1,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,53081,2602920,SVN,LVA,NK Olimpija Ljubljana|Olimpija,Valmiera FC|Valmiera
2023-07-11,Raków Częstochowa,FC Flora Tallinn,1,0,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,60566,59341,POL,EST,Raków Częstochowa|Raków,FC Flora Tallinn|Flora Tallinn
2023-07-11,Hamrun Spartans F.C.,Maccabi Haifa FC,0,4,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,50060,59045,MLT,ISR,Hamrun Spartans F.C.|Hamrun Spartans ,Maccabi Haifa FC|Maccabi Haifa
2023-07-11,FC Ballkani,PFC Ludogorets 1945,2,0,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,2609552,2603104,KOS,BUL,FC Ballkani|Ballkani,PFC Ludogorets 1945|Ludogorets
2023-07-11,Shamrock Rovers FC,Breiðablik,0,1,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,52381,71235,IRL,ISL,Shamrock Rovers FC|Shamrock Rovers,Breiðablik
2023-07-11,KÍ Klaksvík,Ferencvárosi TC,0,0,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,57475,52298,FRO,HUN,KÍ Klaksvík|Klaksvík,Ferencvárosi TC|Ferencváros
2023-07-11,FK Partizani,FC BATE Borisov,1,1,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,52876,66168,ALB,BLR,FK Partizani|Partizani,FC BATE Borisov|BATE
2023-07-12,FC Astana,FC Dinamo Tbilisi,1,1,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,2600605,52705,KAZ,GEO,FC Astana|Astana,FC Dinamo Tbilisi|Dinamo Tbilisi
2023-07-12,HJK Helsinki,Larne FC,1,0,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,50052,85009,FIN,NIR,HJK Helsinki|HJK,Larne FC|Larne
2023-07-12,BK Häcken,The New Saints FC,3,1,INT-Champions League Qualifying,2324,,,uefa,QUALIFYING,69621,60457,SWE,WAL,BK Häcken|Häcken,The New Saints FC|The New Saints
