date,home_team,away_team,home_score,away_score,league,season,home_xg,away_xg,lahde,vaihe,home_uefa_id,away_uefa_id,home_maa,away_maa,home_nimet,away_nimet
2025-07-08,St Joseph's FC,Cliftonville FC,2,2,INT-Conference League,2526,,,uefa,QUALIFYING,2605575,52991,GIB,NIR,St Joseph's FC|St Joseph's,Cliftonville FC|Cliftonville
2025-07-08,Floriana FC,Haverfordwest County AFC,2,1,INT-Conference League,2526,,,uefa,QUALIFYING,50092,64283,MLT,WAL,Floriana FC|Floriana,Haverfordwest County AFC|Haverfordwest
2025-07-10,Atlètic Club d'Escaldes,F91 Diddeleng,2,0,INT-Conference League,2526,,,uefa,QUALIFYING,88371,59028,AND,LUX,Atlètic Club d'Escaldes|At. Escaldes,F91 Diddeleng|Diddeleng
2025-07-10,FCB Magpies,Paide Linnameeskond,2,3,INT-Conference League,2526,,,uefa,QUALIFYING,2606279,2600598,GIB,EST,FCB Magpies|Magpies,Paide Linnameeskond|Paide
2025-07-10,FC Torpedo Kutaisi,FC Ordabasy,4,3,INT-Conference League,2526,,,uefa,QUALIFYING,64471,82825,GEO,KAZ,FC Torpedo Kutaisi|Torpedo Kutaisi,FC Ordabasy|Ordabasy
2025-07-10,SJK Seinäjoki,KÍ Klaksvík,1,2,INT-Conference League,2526,,,uefa,QUALIFYING,2602520,57475,FIN,FRO,SJK Seinäjoki|SJK,KÍ Klaksvík|Klaksvík
2025-07-10,FK Kauno Žalgiris,Penybont FC,3,0,INT-Conference League,2526,,,uefa,QUALIFYING,2605907,2606314,LTU,WAL,FK Kauno Žalgiris|Kauno Žalgiris,Penybont FC|Penybont
2025-07-10,Racing FC Union Luxembourg,FC Dila Gori,1,2,INT-Conference League,2526,,,uefa,QUALIFYING,88135,64467,LUX,GEO,Racing FC Union Luxembourg|Racing Union,FC Dila Gori|Dila
2025-07-10,FC Urartu,FC Neman Grodno,1,2,INT-Conference League,2526,,,uefa,QUALIFYING,77866,59024,ARM,BLR,FC Urartu|Urartu,FC Neman Grodno|Neman
2025-07-10,Nõmme Kalju FC,FK Partizani,1,1,INT-Conference League,2526,,,uefa,QUALIFYING,2600371,52876,EST,ALB,Nõmme Kalju FC|Kalju,FK Partizani|Partizani
2025-07-10,FK Dečić,FC Sileks,2,0,INT-Conference League,2526,,,uefa,QUALIFYING,2600105,59871,MNE,MKD,FK Dečić|Dečić,FC Sileks|Sileks
2025-07-10,FC Torpedo-Belaz,FK Rabotnicki,3,0,INT-Conference League,2526,,,uefa,QUALIFYING,79551,69601,BLR,MKD,FC Torpedo-Belaz|Torpedo-Belaz,FK Rabotnicki|Rabotnicki
2025-07-10,Birkirkara FC,FC Petrocub,1,0,INT-Conference League,2526,,,uefa,QUALIFYING,62171,2607112,MLT,MDA,Birkirkara FC|Birkirkara,FC Petrocub|Petrocub
2025-07-10,KF Vllaznia,BFC Daugavpils,0,1,INT-Conference League,2526,,,uefa,QUALIFYING,52878,2606321,ALB,LVA,KF Vllaznia|Vllaznia,BFC Daugavpils|Daugavpils
2025-07-10,FC Malisheva,Víkingur Reykjavík,0,1,INT-Conference League,2526,,,uefa,QUALIFYING,2611789,52697,KOS,ISL,FC Malisheva|Malisheva,Víkingur Reykjavík|Víkingur R.
2025-07-10,FK Željezničar,FC Koper,1,1,INT-Conference League,2526,,,uefa,QUALIFYING,64381,69617,BIH,SVN,FK Željezničar|Željezničar,FC Koper|Koper
2025-07-10,FK Sutjeska-Nikšić,FC Dynamo Brest,1,2,INT-Conference League,2526,,,uefa,QUALIFYING,73936,64374,MNE,BLR,FK Sutjeska-Nikšić|Sutjeska,FC Dynamo Brest|Dynamo Brest
2025-07-10,FC Vardar,La Fiorita 1967,3,0,INT-Conference League,2526,,,uefa,QUALIFYING,53080,64508,MKD,SMR,FC Vardar|Vardar,La Fiorita 1967|La Fiorita
2025-07-10,NSÍ Runavík,HJK Helsinki,4,0,INT-Conference League,2526,,,uefa,QUALIFYING,64150,50052,FRO,FIN,NSÍ Runavík|Runavík,HJK Helsinki|HJK
2025-07-10,St. Patrick's Athletic,FC Hegelmann,1,0,INT-Conference League,2526,,,uefa,QUALIFYING,50133,2607108,IRL,LTU,St. Patrick's Athletic|St. Patrick's,FC Hegelmann|Hegelmann
2025-07-10,S.S. Tre Fiori F.C.,FC Pyunik,1,0,INT-Conference League,2526,,,uefa,QUALIFYING,64514,77431,SMR,ARM,S.S. Tre Fiori F.C.|Tre Fiori,FC Pyunik|Pyunik
2025-07-10,Larne FC,FK Auda,0,0,INT-Conference League,2526,,,uefa,QUALIFYING,85009,79556,NIR,LVA,Larne FC|Larne,FK Auda|Auda
2025-07-10,FK Borac,FC Santa Coloma,1,4,INT-Conference League,2526,,,uefa,QUALIFYING,50104,62180,BIH,AND,FK Borac|Borac,FC Santa Coloma
2025-07-10,Valur,FC Flora Tallinn,3,0,INT-Conference League,2526,,,uefa,QUALIFYING,50057,59341,ISL,EST,Valur,FC Flora Tallinn|Flora Tallinn
2025-07-16,FK Auda,Larne FC,2,2,INT-Conference League,2526,,,uefa,QUALIFYING,79556,85009,LVA,NIR,FK Auda|Auda,Larne FC|Larne
2025-07-17,BFC Daugavpils,KF Vllaznia,2,4,INT-Conference League,2526,,,uefa,QUALIFYING,2606321,52878,LVA,ALB,BFC Daugavpils|Daugavpils,KF Vllaznia|Vllaznia
2025-07-17,HJK Helsinki,NSÍ Runavík,4,0,INT-Conference League,2526,,,uefa,QUALIFYING,50052,64150,FIN,FRO,HJK Helsinki|HJK,NSÍ Runavík|Runavík
