date,home_team,away_team,home_score,away_score,league,season,home_xg,away_xg,lahde,vaihe,home_uefa_id,away_uefa_id,home_maa,away_maa,home_nimet,away_nimet
2024-07-11,IF Elfsborg,Pafos FC,3,0,INT-Europa League,2425,,,uefa,QUALIFYING,52344,2609532,SWE,CYP,IF Elfsborg|Elfsborg,Pafos FC|Pafos
2024-07-11,Paksi FC,FC Corvinul Hunedoara,0,4,INT-Europa League,2425,,,uefa,QUALIFYING,93452,52339,HUN,ROU,Paksi FC|Paksi,FC Corvinul Hunedoara|Corvinul
2024-07-11,FC Sheriff Tiraspol,PFC Zire ,0,1,INT-Europa League,2425,,,uefa,QUALIFYING,69606,2607480,MDA,AZE,FC Sheriff Tiraspol|Sheriff,PFC Zire |Zire
2024-07-11,MFK Ružomberok,FC Tobol,5,2,INT-Europa League,2425,,,uefa,QUALIFYING,64319,79969,SVK,KAZ,MFK Ružomberok|Ružomberok,FC Tobol|Tobol
2024-07-11,PFC Botev Plovdiv,NK Maribor,2,1,INT-Europa League,2425,,,uefa,QUALIFYING,57466,57490,BUL,SVN,PFC Botev Plovdiv|Botev Plovdiv,NK Maribor|Maribor
2024-07-11,Wisła Kraków,KF Llapi,2,0,INT-Europa League,2425,,,uefa,QUALIFYING,52651,2608286,POL,KOS,Wisła Kraków,KF Llapi|Llapi
2024-07-18,KF Llapi,Wisła Kraków,1,2,INT-Europa League,2425,,,uefa,QUALIFYING,2608286,52651,KOS,POL,KF Llapi|Llapi,Wisła Kraków
2024-07-18,FC Tobol,MFK Ružomberok,1,0,INT-Europa League,2425,,,uefa,QUALIFYING,79969,64319,KAZ,SVK,FC Tobol|Tobol,MFK Ružomberok|Ružomberok
2024-07-18,Pafos FC,IF Elfsborg,2,5,INT-Europa League,2425,,,uefa,QUALIFYING,2609532,52344,CYP,SWE,Pafos FC|Pafos,IF Elfsborg|Elfsborg
2024-07-18,PFC Zire ,FC Sheriff Tiraspol,1,2,INT-Europa League,2425,,,uefa,QUALIFYING,2607480,69606,AZE,MDA,PFC Zire |Zire,FC Sheriff Tiraspol|Sheriff
2024-07-18,FC Corvinul Hunedoara,Paksi FC,0,2,INT-Europa League,2425,,,uefa,QUALIFYING,52339,93452,ROU,HUN,FC Corvinul Hunedoara|Corvinul,Paksi FC|Paksi
2024-07-18,NK Maribor,PFC Botev Plovdiv,2,2,INT-Europa League,2425,,,uefa,QUALIFYING,57490,57466,SVN,BUL,NK Maribor|Maribor,PFC Botev Plovdiv|Botev Plovdiv
2024-07-25,Wisła Kraków,SK Rapid,1,2,INT-Europa League,2425,,,uefa,QUALIFYING,52651,50042,POL,AUT,Wisła Kraków,SK Rapid
2024-07-25,MFK Ružomberok,Trabzonspor A.Ş.,0,2,INT-Europa League,2425,,,uefa,QUALIFYING,64319,52731,SVK,TUR,MFK Ružomberok|Ružomberok,Trabzonspor A.Ş.|Trabzonspor
2024-07-25,Molde FK,Silkeborg IF,3,1,INT-Europa League,2425,,,uefa,QUALIFYING,50142,52912,NOR,DEN,Molde FK|Molde,Silkeborg IF|Silkeborg
2024-07-25,FC Corvinul Hunedoara,HNK Rijeka,0,0,INT-Europa League,2425,,,uefa,QUALIFYING,52339,52356,ROU,CRO,FC Corvinul Hunedoara|Corvinul,HNK Rijeka|Rijeka
2024-07-25,FC Sheriff Tiraspol,IF Elfsborg,0,1,INT-Europa League,2425,,,uefa,QUALIFYING,69606,52344,MDA,SWE,FC Sheriff Tiraspol|Sheriff,IF Elfsborg|Elfsborg
2024-07-25,Panathinaikos FC,PFC Botev Plovdiv,2,1,INT-Europa League,2425,,,uefa,QUALIFYING,50084,57466,GRE,BUL,Panathinaikos FC|Panathinaikos,PFC Botev Plovdiv|Botev Plovdiv
2024-07-25,AFC Ajax,FK Vojvodina,1,0,INT-Europa League,2425,,,uefa,QUALIFYING,50143,52810,NED,SRB,AFC Ajax|Ajax,FK Vojvodina|Vojvodina
2024-07-25,Kilmarnock FC,Cercle Brugge KSV,1,1,INT-Europa League,2425,,,uefa,QUALIFYING,62178,52884,SCO,BEL,Kilmarnock FC|Kilmarnock,Cercle Brugge KSV|Cercle Brugge
2024-07-25,SC Braga,Maccabi Petah Tikva FC,2,0,INT-Europa League,2425,,,uefa,QUALIFYING,52336,61576,POR,ISR,SC Braga|Braga,Maccabi Petah Tikva FC|M. Petah Tikva
2024-08-01,IF Elfsborg,FC Sheriff Tiraspol,2,0,INT-Europa League,2425,,,uefa,QUALIFYING,52344,69606,SWE,MDA,IF Elfsborg|Elfsborg,FC Sheriff Tiraspol|Sheriff
2024-08-01,Silkeborg IF,Molde FK,3,2,INT-Europa League,2425,,,uefa,QUALIFYING,52912,50142,DEN,NOR,Silkeborg IF|Silkeborg,Molde FK|Molde
2024-08-01,Trabzonspor A.Ş.,MFK Ružomberok,1,0,INT-Europa League,2425,,,uefa,QUALIFYING,52731,64319,TUR,SVK,Trabzonspor A.Ş.|Trabzonspor,MFK Ružomberok|Ružomberok
2024-08-01,Maccabi Petah Tikva FC,SC Braga,0,5,INT-Europa League,2425,,,uefa,QUALIFYING,61576,52336,ISR,POR,Maccabi Petah Tikva FC|M. Petah Tikva,SC Braga|Braga
2024-08-01,FK Vojvodina,AFC Ajax,1,3,INT-Europa League,2425,,,uefa,QUALIFYING,52810,50143,SRB,NED,FK Vojvodina|Vojvodina,AFC Ajax|Ajax
2024-08-01,Cercle Brugge KSV,Kilmarnock FC,1,0,INT-Europa League,2425,,,uefa,QUALIFYING,52884,62178,BEL,SCO,Cercle Brugge KSV|Cercle Brugge,Kilmarnock FC|Kilmarnock
2024-08-01,HNK Rijeka,FC Corvinul Hunedoara,1,0,INT-Europa League,2425,,,uefa,QUALIFYING,52356,52339,CRO,ROU,HNK Rijeka|Rijeka,FC Corvinul Hunedoara|Corvinul
2024-08-01,PFC Botev Plovdiv,Panathinaikos FC,0,4,INT-Europa League,2425,,,uefa,QUALIFYING,57466,50084,BUL,GRE,PFC Botev Plovdiv|Botev Plovdiv,Panathinaikos FC|Panathinaikos
2024-08-01,SK Rapid,Wisła Kraków,6,1,INT-Europa League,2425,,,uefa,QUALIFYING,50042,52651,AUT,POL,SK Rapid,Wisła Kraków
2024-08-06,FK Panevėžys,Maccabi Tel-Aviv FC,1,2,INT-Europa League,2425,,,uefa,QUALIFYING,2608927,57477,LTU,ISR,FK Panevėžys|Panevėžys,Maccabi Tel-Aviv FC|M. Tel-Aviv
2024-08-06,FC Petrocub,The New Saints FC,1,0,INT-Europa League,2425,,,uefa,QUALIFYING,2607112,60457,MDA,WAL,FC Petrocub|Petrocub,The New Saints FC|The New Saints
2024-08-08,KÍ Klaksvík,FK Borac,2,1,INT-Europa League,2425,,,uefa,QUALIFYING,57475,50104,FRO,BIH,KÍ Klaksvík|Klaksvík,FK Borac|Borac
2024-08-08,Molde FK,Cercle Brugge KSV,3,0,INT-Europa League,2425,,,uefa,QUALIFYING,50142,52884,NOR,BEL,Molde FK|Molde,Cercle Brugge KSV|Cercle Brugge
2024-08-08,Trabzonspor A.Ş.,SK Rapid,0,1,INT-Europa League,2425,,,uefa,QUALIFYING,52731,50042,TUR,AUT,Trabzonspor A.Ş.|Trabzonspor,SK Rapid
2024-08-08,UE Santa Coloma,FC RFS,0,2,INT-Europa League,2425,,,uefa,QUALIFYING,2600542,2609104,AND,LVA,UE Santa Coloma,FC RFS|RFS
2024-08-08,FK Partizan Beograd,FC Lugano,0,1,INT-Europa League,2425,,,uefa,QUALIFYING,50162,8538,SRB,SUI,FK Partizan Beograd|Partizan,FC Lugano|Lugano
2024-08-08,Panathinaikos FC,AFC Ajax,0,1,INT-Europa League,2425,,,uefa,QUALIFYING,50084,50143,GRE,NED,Panathinaikos FC|Panathinaikos,AFC Ajax|Ajax
2024-08-08,HNK Rijeka,IF Elfsborg,1,1,INT-Europa League,2425,,,uefa,QUALIFYING,52356,52344,CRO,SWE,HNK Rijeka|Rijeka,IF Elfsborg|Elfsborg
2024-08-08,FC Kryvbas Kryvyi Rih,FC Viktoria Plzeň,1,2,INT-Europa League,2425,,,uefa,QUALIFYING,64527,64388,UKR,CZE,FC Kryvbas Kryvyi Rih|Kryvbas,FC Viktoria Plzeň|Viktoria Plzeň
2024-08-08,NK Celje,Shamrock Rovers FC,1,0,INT-Europa League,2425,,,uefa,QUALIFYING,59030,52381,SVN,IRL,NK Celje|Celje,Shamrock Rovers FC|Shamrock Rovers
2024-08-08,FC Dinamo-Minsk,Lincoln Red Imps FC,2,0,INT-Europa League,2425,,,uefa,QUALIFYING,50161,2605572,BLR,GIB,FC Dinamo-Minsk|Dinamo-Minsk,Lincoln Red Imps FC|L. Red Imps
2024-08-08,SC Braga,Servette FC,0,0,INT-Europa League,2425,,,uefa,QUALIFYING,52336,50008,POR,SUI,SC Braga|Braga,Servette FC|Servette
2024-08-13,The New Saints FC,FC Petrocub,0,0,INT-Europa League,2425,,,uefa,QUALIFYING,60457,2607112,WAL,MDA,The New Saints FC|The New Saints,FC Petrocub|Petrocub
2024-08-14,FC RFS,UE Santa Coloma,7,0,INT-Europa League,2425,,,uefa,QUALIFYING,2609104,2600542,LVA,AND,FC RFS|RFS,UE Santa Coloma
2024-08-15,Lincoln Red Imps FC,FC Dinamo-Minsk,2,1,INT-Europa League,2425,,,uefa,QUALIFYING,2605572,50161,GIB,BLR,Lincoln Red Imps FC|L. Red Imps,FC Dinamo-Minsk|Dinamo-Minsk
2024-08-15,SK Rapid,Trabzonspor A.Ş.,2,0,INT-Europa League,2425,,,uefa,QUALIFYING,50042,52731,AUT,TUR,SK Rapid,Trabzonspor A.Ş.|Trabzonspor
2024-08-15,IF Elfsborg,HNK Rijeka,2,0,INT-Europa League,2425,,,uefa,QUALIFYING,52344,52356,SWE,CRO,IF Elfsborg|Elfsborg,HNK Rijeka|Rijeka
2024-08-15,FC Viktoria Plzeň,FC Kryvbas Kryvyi Rih,1,0,INT-Europa League,2425,,,uefa,QUALIFYING,64388,64527,CZE,UKR,FC Viktoria Plzeň|Viktoria Plzeň,FC Kryvbas Kryvyi Rih|Kryvbas
2024-08-15,Cercle Brugge KSV,Molde FK,1,0,INT-Europa League,2425,,,uefa,QUALIFYING,52884,50142,BEL,NOR,Cercle Brugge KSV|Cercle Brugge,Molde FK|Molde
2024-08-15,AFC Ajax,Panathinaikos FC,0,1,INT-Europa League,2425,,,uefa,QUALIFYING,50143,50084,NED,GRE,AFC Ajax|Ajax,Panathinaikos FC|Panathinaikos
2024-08-15,Maccabi Tel-Aviv FC,FK Panevėžys,3,0,INT-Europa League,2425,,,uefa,QUALIFYING,57477,2608927,ISR,LTU,Maccabi Tel-Aviv FC|M. Tel-Aviv,FK Panevėžys|Panevėžys
2024-08-15,FC Lugano,FK Partizan Beograd,1,2,INT-Europa League,2425,,,uefa,QUALIFYING,8538,50162,SUI,SRB,FC Lugano|Lugano,FK Partizan Beograd|Partizan
2024-08-15,Servette FC,SC Braga,1,2,INT-Europa League,2425,,,uefa,QUALIFYING,50008,52336,SUI,POR,Servette FC|Servette,SC Braga|Braga
2024-08-15,FK Borac,KÍ Klaksvík,2,1,INT-Europa League,2425,,,uefa,QUALIFYING,50104,57475,BIH,FRO,FK Borac|Borac,KÍ Klaksvík|Klaksvík
